Image_name,mos
10004473376.jpg,0.850201737
10007903636.jpg,0.835477501
10009096245.jpg,0.880705399
100117038.jpg,0.850646242
10012398043.jpg,0.69812053
10017119924.jpg,0.724138451
10020766793.jpg,0.929233951
10020891105.jpg,0.635096068
10022844623.jpg,0.680853959
10027545463.jpg,0.824228686
10027582235.jpg,0.84829078
10029841663.jpg,0.736355322
10031298826.jpg,0.554132105
10031913154.jpg,0.743321449
10039534103.jpg,0.807579086
10041870415.jpg,0.733006223
10043785683.jpg,0.768513417
10047832035.jpg,0.795716838
10048365153.jpg,0.617034537
10058760545.jpg,0.162996649
10059344614.jpg,0.747965534
10061596254.jpg,0.641824331
10067457634.jpg,0.880705399
10068778516.jpg,0.805283314
10069534975.jpg,0.80270553
10071864114.jpg,0.822975792
10075168775.jpg,0.817281944
10077468576.jpg,0.797867536
10077880165.jpg,0.341737142
10079711433.jpg,0.632461523
10082923485.jpg,0.577429392
10086300493.jpg,0.752496898
100882570.jpg,0.72125032
10089027076.jpg,0.240900307
10089177336.jpg,0.820362673
10091520555.jpg,0.375168222
10093057603.jpg,0.711359221
10094235786.jpg,0.676400191
10110458216.jpg,0.707515558
10111411235.jpg,0.187613585
10113730664.jpg,0.73952338
10118773964.jpg,0.60471162
10125013364.jpg,0.340615511
10126177964.jpg,0.777939052
10126857344.jpg,0.75342437
10130566006.jpg,0.806673772
10131980434.jpg,0.652314593
10133867305.jpg,0.651656067
10134737015.jpg,0.595296681
10147970884.jpg,0.844675456
10154367094.jpg,0.773230147
10154991453.jpg,0.770190795
10155925686.jpg,0.583325975
101601008.jpg,0.691957875
10164654253.jpg,0.583054093
10164842933.jpg,0.851224492
10169304416.jpg,0.89465226
10173544123.jpg,0.699273548
10177270623.jpg,0.686955012
10177793964.jpg,0.717491722
10178112894.jpg,0.448553519
10178914656.jpg,0.750900946
10186643874.jpg,0.5553466
10186832194.jpg,0.654003289
10187102065.jpg,0.417910014
10191607755.jpg,0.903542365
10196228605.jpg,0.69610659
10203647273.jpg,0.81630302
10205220286.jpg,0.313524572
10206674394.jpg,0.866203925
10207172624.jpg,0.718698605
10209014225.jpg,0.706079464
10209917915.jpg,0.51612555
10211880874.jpg,0.37719832
10213881683.jpg,0.397917664
10218118033.jpg,0.839566845
10221144393.jpg,0.182231603
10224586444.jpg,0.424609767
10226277514.jpg,0.466165991
10226524916.jpg,0.225983456
10241630856.jpg,0.698063532
10241895785.jpg,0.770622354
10244314384.jpg,0.522907788
10244715656.jpg,0.578115599
10260190424.jpg,0.750846586
1026198859.jpg,0.774892293
10262588616.jpg,0.670177118
10264804094.jpg,0.818415419
10264984793.jpg,0.746425169
10265809113.jpg,0.800831447
10273804555.jpg,0.750957396
10278246465.jpg,0.758819731
10279904885.jpg,0.480615057
10280683815.jpg,0.821977813
10280835505.jpg,0.352800383
10283619534.jpg,0.80708473
10287677265.jpg,0.738813955
10289468185.jpg,0.808039756
10290759976.jpg,0.843124178
1029470257.jpg,0.477458071
10295875445.jpg,0.717992016
10299438733.jpg,0.622893964
102995966.jpg,0.164552417
10316734944.jpg,0.737182981
10319186405.jpg,0.622893964
10319713194.jpg,0.05342611
10325321.jpg,0.864648157
10327985614.jpg,0.823612984
10329149264.jpg,0.819770225
10329235193.jpg,0.920211311
10330831494.jpg,0.520584011
10335072144.jpg,0.667996135
10336689775.jpg,0.698518634
10342569703.jpg,0.417175961
10344523015.jpg,0.569340283
10344921126.jpg,0.015755311
10346758803.jpg,0.712537147
10346796664.jpg,0.780876017
10350497833.jpg,0.639802594
10358252894.jpg,0.690050071
10362672006.jpg,0.849688846
10366373284.jpg,0.864648157
1036840624.jpg,0.320129248
10371125786.jpg,0.411623242
10371211803.jpg,0.732820887
10372323314.jpg,0.723701257
10387390396.jpg,0.792843466
10387844376.jpg,0.732265119
10388184626.jpg,0.844423169
10395523125.jpg,0.666326206
10397166423.jpg,0.792212155
10397631976.jpg,0.810487064
10399580503.jpg,0.834729536
10403509543.jpg,0.74198181
10407720764.jpg,0.417175961
10408374535.jpg,0.528413183
10408474376.jpg,0.892123882
10409059825.jpg,0.797867536
10412894895.jpg,0.626615606
10414716033.jpg,0.791768719
10415628976.jpg,0.20923254
10415631353.jpg,0.46678539
104219737.jpg,0.564933968
10422425365.jpg,0.83268559
10422776735.jpg,0.750435007
10423472445.jpg,0.78190957
10429780626.jpg,0.767412638
10442628686.jpg,0.465704712
10446810546.jpg,0.812194501
10451177016.jpg,0.777232462
10453950204.jpg,0.638916353
10459022813.jpg,0.891910452
10463545414.jpg,0.595243324
10464940425.jpg,0.774595802
10465293055.jpg,0.835088559
10466350116.jpg,0.847979211
10468110795.jpg,0.689257296
10468540574.jpg,0.74334444
10475435053.jpg,0.638916353
10486107003.jpg,0.713225076
10491423125.jpg,0.780255065
10492897986.jpg,0.507261757
10505275743.jpg,0.857331425
10506082433.jpg,0.454098186
10513907744.jpg,0.643189301
10516786036.jpg,0.84930457
10517436165.jpg,0.46496387
10520192995.jpg,0.607065762
10525460645.jpg,0.79882719
10526881085.jpg,0.486767735
10530470795.jpg,0.430941048
10534454676.jpg,0.787971005
10536668436.jpg,0.398516036
10538085833.jpg,0.553494495
10539008983.jpg,0.755102086
10544775715.jpg,0.514600287
10544945153.jpg,0.538535184
10554234623.jpg,0.562099408
10556629035.jpg,0.793723425
10558118243.jpg,0.831310265
105620456.jpg,0.618318174
10567114974.jpg,0.709428154
10567188645.jpg,0.712740591
10568567754.jpg,0.847478642
10569725133.jpg,0.833750889
1057328504.jpg,0.361245982
10576676414.jpg,0.707540058
10579282866.jpg,0.720183957
1057997640.jpg,0.586461966
10581525775.jpg,0.67462217
10582113466.jpg,0.628291048
10583786994.jpg,0.677803434
10586872235.jpg,0.457359755
10589450596.jpg,0.678820276
10602786066.jpg,0.295640303
10603218265.jpg,0.805751214
10605846204.jpg,0.760811327
10609356094.jpg,0.740557113
10615424764.jpg,0.79882719
10617981003.jpg,0.429403451
10619909515.jpg,0.673812091
10620203775.jpg,0.220224519
10620356404.jpg,0.645226117
1062133952.jpg,0.662468356
10625988224.jpg,0.702207642
10628337356.jpg,0.801819052
10628497685.jpg,0.615225669
10628645805.jpg,0.882188682
10631630073.jpg,0.233821149
1063351510.jpg,0.512459322
10633933603.jpg,0.639617384
10635160054.jpg,0.74545623
1063722220.jpg,0.603601447
10642085843.jpg,0.851198758
106456452.jpg,0.278123504
10660362264.jpg,0.82945816
10660571735.jpg,0.539603707
10660620125.jpg,0.811037222
106652866.jpg,0.560638329
10665464526.jpg,0.870945314
10676427864.jpg,0.837540073
1067765170.jpg,0.551677009
10678199353.jpg,0.753727639
10679134563.jpg,0.351085863
10680715605.jpg,0.408525175
10680932454.jpg,0.566459231
10683218616.jpg,0.781303426
10689376076.jpg,0.633329974
10689538413.jpg,0.831516054
10689722684.jpg,0.868969736
10690294454.jpg,0.786502914
10692654005.jpg,0.73778761
10692667386.jpg,0.779685082
10692857705.jpg,0.775420269
10693826785.jpg,0.586404979
10694350076.jpg,0.784315261
10698962263.jpg,0.469813018
10705911926.jpg,0.782192437
10706770686.jpg,0.838963303
10713772814.jpg,0.658652909
10714662986.jpg,0.911803082
10721124556.jpg,0.637647417
10724889206.jpg,0.703515011
10728525673.jpg,0.762924844
10730634575.jpg,0.6163236
10732971054.jpg,0.558832916
10733259996.jpg,0.663954045
10737029565.jpg,0.693143222
10740242265.jpg,0.76974629
10740727595.jpg,0.823612984
10745415703.jpg,0.74343417
10745932825.jpg,0.733288474
10747724694.jpg,0.619843438
107505789.jpg,0.623504069
10751799554.jpg,0.812026582
