Image_name,mos
I76_01_04.png,0.314
I39_01_04.png,0.36
I36_01_01.png,0.926
I49_01_04.png,0.494
I27_01_04.png,0.334
I69_01_02.png,0.926
I34_01_04.png,0.34
I73_01_03.png,0.626
I50_01_04.png,0.366
I66_01_04.png,0.346
I16_01_01.png,0.94
I15_01_05.png,0.246
I71_01_03.png,0.54
I68_01_04.png,0.334
I58_01_03.png,0.78
I03_01_03.png,0.6
I25_01_03.png,0.64
I51_01_01.png,0.906
I72_01_01.png,0.866
I80_01_02.png,0.886
I10_01_05.png,0.246
I80_01_03.png,0.654
I58_01_02.png,0.886
I02_01_04.png,0.314
I35_01_04.png,0.394
I68_01_02.png,0.866
I41_01_03.png,0.634
I59_01_01.png,0.96
I47_01_04.png,0.414
I62_01_03.png,0.52
I55_01_05.png,0.246
I26_01_03.png,0.566
I24_01_05.png,0.28
I03_01_04.png,0.366
I77_01_04.png,0.4
I28_01_04.png,0.438
I01_01_03.png,0.534
I53_01_03.png,0.66
I10_01_04.png,0.334
I67_01_05.png,0.254
I35_01_02.png,0.9
I38_01_01.png,0.94
I78_01_05.png,0.334
I04_01_01.png,0.954
I22_01_03.png,0.626
I47_01_01.png,0.9
I81_01_04.png,0.374
I04_01_04.png,0.314
I65_01_03.png,0.52
I57_01_02.png,0.786
I42_01_05.png,0.28
I65_01_04.png,0.38
I14_01_05.png,0.314
I28_01_03.png,0.8
I19_01_02.png,0.846
I22_01_01.png,0.94
I75_01_03.png,0.5
I61_01_02.png,0.926
I47_01_05.png,0.294
I67_01_01.png,0.926
I35_01_05.png,0.266
I78_01_01.png,0.9
I26_01_02.png,0.886
I53_01_02.png,0.926
I44_01_03.png,0.726
I29_01_04.png,0.374
I49_01_05.png,0.274
I51_01_03.png,0.5
I36_01_02.png,0.906
I67_01_04.png,0.38
I08_01_03.png,0.6
I66_01_01.png,0.926
I29_01_01.png,0.946
I05_01_02.png,0.894
I63_01_01.png,0.934
I45_01_01.png,0.914
I71_01_02.png,0.868
I06_01_03.png,0.686
I30_01_03.png,0.786
I39_01_02.png,0.886
I54_01_02.png,0.896
I10_01_03.png,0.56
I08_01_05.png,0.294
I52_01_01.png,0.954
I57_01_05.png,0.214
I41_01_05.png,0.28
I32_01_04.png,0.32
I65_01_05.png,0.266
I16_01_03.png,0.4
I01_01_02.png,0.866
I54_01_03.png,0.506
I33_01_02.png,0.78
I73_01_05.png,0.234
I48_01_02.png,0.95
I54_01_01.png,0.968
I21_01_04.png,0.32
I42_01_03.png,0.646
I45_01_03.png,0.526
I57_01_01.png,0.886
I38_01_03.png,0.68
I56_01_01.png,0.92
I06_01_01.png,0.94
I07_01_04.png,0.346
I61_01_03.png,0.546
I37_01_05.png,0.266
I50_01_02.png,0.826
I36_01_05.png,0.254
I34_01_01.png,0.92
I26_01_05.png,0.26
I69_01_01.png,0.896
I74_01_04.png,0.42
I15_01_04.png,0.36
I25_01_05.png,0.274
I43_01_01.png,0.96
I45_01_05.png,0.246
I20_01_04.png,0.394
I51_01_04.png,0.306
I18_01_02.png,0.846
I17_01_01.png,0.946
I49_01_02.png,0.926
I58_01_04.png,0.52
I25_01_04.png,0.46
I78_01_04.png,0.434
I69_01_03.png,0.68
I49_01_01.png,0.926
I33_01_05.png,0.26
I64_01_04.png,0.366
I62_01_05.png,0.286
I14_01_01.png,0.926
I31_01_05.png,0.254
I59_01_05.png,0.274
I20_01_05.png,0.266
I76_01_02.png,0.894
I17_01_05.png,0.214
I57_01_04.png,0.34
I12_01_02.png,0.774
I48_01_04.png,0.44
I13_01_03.png,0.666
I72_01_03.png,0.526
I08_01_01.png,0.96
I46_01_01.png,0.93
I06_01_04.png,0.426
I19_01_05.png,0.254
I62_01_02.png,0.806
I32_01_01.png,0.9
I67_01_02.png,0.926
I61_01_04.png,0.394
I55_01_04.png,0.36
I59_01_04.png,0.36
I33_01_04.png,0.314
I76_01_01.png,0.942
I05_01_05.png,0.234
I01_01_04.png,0.334
I73_01_02.png,0.92
I18_01_01.png,0.9
I46_01_05.png,0.234
I10_01_01.png,0.946
I73_01_04.png,0.386
I76_01_05.png,0.266
I38_01_02.png,0.926
I74_01_03.png,0.6
I02_01_03.png,0.414
I64_01_05.png,0.246
I52_01_05.png,0.254
I80_01_01.png,0.926
I11_01_03.png,0.5
I44_01_04.png,0.374
I44_01_01.png,0.886
I81_01_01.png,0.934
I48_01_03.png,0.7
I81_01_02.png,0.9
I17_01_02.png,0.846
I79_01_02.png,0.926
I17_01_03.png,0.546
I55_01_03.png,0.574
I70_01_01.png,0.946
I18_01_05.png,0.28
I43_01_04.png,0.494
I56_01_02.png,0.926
I78_01_02.png,0.886
I09_01_03.png,0.386
I20_01_03.png,0.546
I46_01_03.png,0.594
I31_01_02.png,0.926
I29_01_05.png,0.246
I19_01_03.png,0.554
I16_01_05.png,0.226
I70_01_05.png,0.246
I26_01_04.png,0.36
I40_01_03.png,0.434
I56_01_04.png,0.374
I34_01_05.png,0.26
I55_01_02.png,0.9
I12_01_03.png,0.48
I63_01_05.png,0.26
I07_01_03.png,0.5
I13_01_04.png,0.44
I18_01_04.png,0.354
I65_01_02.png,0.88
I12_01_04.png,0.334
I62_01_01.png,0.926
I76_01_03.png,0.574
I27_01_03.png,0.48
I12_01_01.png,0.906
I33_01_03.png,0.466
I54_01_05.png,0.22
I37_01_02.png,0.82
I14_01_03.png,0.506
I08_01_04.png,0.4
I24_01_02.png,0.806
I38_01_05.png,0.286
I63_01_03.png,0.52
I77_01_03.png,0.574
I41_01_02.png,0.886
I01_01_01.png,0.914
I39_01_05.png,0.264
I40_01_04.png,0.314
I43_01_02.png,0.894
I46_01_04.png,0.326
I05_01_03.png,0.566
I60_01_03.png,0.666
I68_01_05.png,0.234
I23_01_04.png,0.44
I75_01_01.png,0.874
I67_01_03.png,0.62
I80_01_05.png,0.306
I29_01_02.png,0.88
I80_01_04.png,0.42
I41_01_01.png,0.914
I51_01_05.png,0.266
I15_01_03.png,0.486
I28_01_02.png,0.936
I22_01_05.png,0.3
I77_01_01.png,0.926
I78_01_03.png,0.6
I66_01_05.png,0.28
I35_01_03.png,0.64
I44_01_05.png,0.226
I08_01_02.png,0.88
I19_01_01.png,0.88
I71_01_05.png,0.246
I14_01_04.png,0.336
I07_01_01.png,0.9
I26_01_01.png,0.948
I12_01_05.png,0.234
I31_01_03.png,0.606
I32_01_03.png,0.546
I75_01_05.png,0.28
I71_01_01.png,0.926
I45_01_02.png,0.86
I60_01_02.png,0.92
I22_01_04.png,0.46
I27_01_02.png,0.834
I11_01_05.png,0.27
I04_01_05.png,0.24
I40_01_01.png,0.854
I24_01_01.png,0.84
I69_01_04.png,0.426
I29_01_03.png,0.694
I01_01_05.png,0.22
I70_01_04.png,0.386
I03_01_05.png,0.234
I13_01_02.png,0.88
I09_01_02.png,0.754
I39_01_01.png,0.946
I21_01_01.png,0.94
I75_01_02.png,0.886
I46_01_02.png,0.866
I20_01_02.png,0.874
I42_01_02.png,0.926
I55_01_01.png,0.894
I66_01_02.png,0.896
I31_01_04.png,0.366
I52_01_04.png,0.374
I27_01_05.png,0.24
I10_01_02.png,0.906
I74_01_02.png,0.886
I43_01_05.png,0.32
I34_01_02.png,0.874
I07_01_02.png,0.88
I37_01_03.png,0.574
I11_01_01.png,0.92
I49_01_03.png,0.66
I60_01_04.png,0.394
I20_01_01.png,0.926
I18_01_03.png,0.566
I09_01_04.png,0.28
I07_01_05.png,0.274
I25_01_01.png,0.886
I02_01_01.png,0.9
I36_01_03.png,0.7
I53_01_05.png,0.254
I48_01_01.png,0.906
I03_01_01.png,0.94
I57_01_03.png,0.446
I09_01_05.png,0.24
I73_01_01.png,0.926
I58_01_01.png,0.946
I21_01_05.png,0.226
I39_01_03.png,0.594
I48_01_05.png,0.246
I72_01_05.png,0.206
I77_01_02.png,0.92
I79_01_01.png,0.94
I06_01_05.png,0.306
I60_01_01.png,0.894
I30_01_01.png,0.92
I71_01_04.png,0.28
I02_01_05.png,0.254
I11_01_02.png,0.814
I31_01_01.png,0.966
I43_01_03.png,0.734
I72_01_02.png,0.854
I24_01_04.png,0.34
I44_01_02.png,0.814
I25_01_02.png,0.926
I33_01_01.png,0.88
I04_01_02.png,0.86
I27_01_01.png,0.906
I30_01_05.png,0.252
I32_01_02.png,0.878
I58_01_05.png,0.306
I51_01_02.png,0.874
I53_01_01.png,0.94
I22_02_05.png,0.26
I37_02_05.png,0.274
I68_02_03.png,0.3
I79_02_02.png,0.646
I54_02_01.png,0.722
I52_02_03.png,0.36
I41_02_04.png,0.294
I15_02_03.png,0.346
I31_02_03.png,0.374
I62_02_02.png,0.48
I25_02_01.png,0.834
I66_02_03.png,0.36
I20_02_02.png,0.506
I04_02_01.png,0.714
I70_02_05.png,0.246
I18_02_03.png,0.306
I15_02_02.png,0.42
I29_02_02.png,0.626
I68_02_02.png,0.44
I09_02_03.png,0.274
I09_02_04.png,0.314
I19_02_05.png,0.28
I02_02_01.png,0.64
I81_02_05.png,0.254
I16_02_02.png,0.386
I05_02_03.png,0.314
I53_02_02.png,0.546
I68_02_04.png,0.252
I54_02_03.png,0.34
I34_02_02.png,0.534
I76_02_02.png,0.52
I80_02_01.png,0.766
I44_02_02.png,0.586
I11_02_04.png,0.28
I10_02_04.png,0.254
I31_02_05.png,0.274
I43_02_05.png,0.32
I65_02_05.png,0.226
I11_02_02.png,0.414
I12_02_04.png,0.274
I01_02_04.png,0.246
I62_02_03.png,0.36
I47_02_05.png,0.274
I78_02_04.png,0.334
I81_02_04.png,0.266
I12_02_01.png,0.626
I01_02_02.png,0.454
I50_02_01.png,0.78
I57_02_03.png,0.254
I61_02_01.png,0.734
I51_02_05.png,0.226
I05_02_02.png,0.526
I75_02_02.png,0.534
I44_02_05.png,0.226
I38_02_02.png,0.486
I30_02_01.png,0.934
I55_02_01.png,0.754
I38_02_04.png,0.28
I67_02_02.png,0.56
I64_02_01.png,0.826
I07_02_01.png,0.74
I38_02_05.png,0.254
I26_02_04.png,0.314
I43_02_04.png,0.38
I06_02_03.png,0.426
I52_02_02.png,0.588
I42_02_02.png,0.626
I09_02_02.png,0.426
I03_02_02.png,0.54
I55_02_03.png,0.326
I31_02_01.png,0.84
I59_02_05.png,0.24
I81_02_01.png,0.774
I04_02_02.png,0.486
I46_02_04.png,0.266
I59_02_02.png,0.606
I37_02_04.png,0.246
I78_02_01.png,0.826
I08_02_05.png,0.266
I35_02_04.png,0.274
I69_02_02.png,0.646
I51_02_01.png,0.806
I24_02_04.png,0.34
I54_02_04.png,0.24
I41_02_05.png,0.274
I68_02_05.png,0.212
I18_02_05.png,0.286
I32_02_05.png,0.254
I73_02_02.png,0.47
I74_02_05.png,0.278
I06_02_05.png,0.326
I50_02_04.png,0.266
I20_02_05.png,0.306
I36_02_01.png,0.846
I66_02_01.png,0.76
I33_02_01.png,0.68
I80_02_05.png,0.22
I34_02_04.png,0.274
I33_02_03.png,0.294
I04_02_03.png,0.3
I30_02_02.png,0.742
I08_02_03.png,0.366
I17_02_01.png,0.7
I65_02_03.png,0.334
I56_02_02.png,0.5
I20_02_03.png,0.326
I69_02_04.png,0.28
I33_02_04.png,0.266
I45_02_05.png,0.234
I80_02_02.png,0.606
I61_02_02.png,0.574
I36_02_03.png,0.414
I46_02_01.png,0.806
I81_02_03.png,0.36
I78_02_05.png,0.306
I79_02_01.png,0.834
I33_02_05.png,0.234
I29_02_01.png,0.84
I50_02_05.png,0.234
I01_02_01.png,0.766
I49_02_03.png,0.452
I04_02_04.png,0.286
I23_02_03.png,0.394
I70_02_01.png,0.846
I05_02_01.png,0.734
I19_02_02.png,0.5
I11_02_05.png,0.254
I13_02_02.png,0.526
I47_02_02.png,0.626
I03_02_05.png,0.246
I36_02_05.png,0.252
I43_02_01.png,0.906
I56_02_05.png,0.246
I57_02_01.png,0.62
I42_02_01.png,0.814
I28_02_05.png,0.314
I47_02_03.png,0.466
I11_02_01.png,0.68
I74_02_02.png,0.574
I65_02_01.png,0.706
I53_02_03.png,0.414
I76_02_04.png,0.254
I27_02_03.png,0.34
I67_02_05.png,0.234
I18_02_04.png,0.246
I14_02_05.png,0.254
I41_02_01.png,0.8
I67_02_03.png,0.34
I23_02_05.png,0.258
I73_02_01.png,0.866
I69_02_03.png,0.3
I68_02_01.png,0.72
I46_02_03.png,0.346
I76_02_03.png,0.32
I54_02_02.png,0.446
I73_02_04.png,0.26
I10_02_02.png,0.514
I45_02_01.png,0.726
I47_02_04.png,0.3
I29_02_03.png,0.346
I50_02_02.png,0.52
I22_02_01.png,0.76
I12_02_03.png,0.246
I18_02_02.png,0.474
I35_02_02.png,0.606
I07_02_04.png,0.286
I19_02_01.png,0.76
I09_02_05.png,0.214
I27_02_02.png,0.42
I58_02_04.png,0.394
I71_02_01.png,0.736
I65_02_04.png,0.28
I24_02_02.png,0.494
I30_02_05.png,0.3
I54_02_05.png,0.24
I34_02_05.png,0.266
I24_02_05.png,0.266
I77_02_05.png,0.294
I41_02_02.png,0.562
I39_02_03.png,0.346
I02_02_05.png,0.2
I77_02_01.png,0.762
I77_02_04.png,0.294
I12_02_05.png,0.24
I52_02_05.png,0.252
I21_02_05.png,0.254
I77_02_02.png,0.56
I39_02_01.png,0.826
I40_02_01.png,0.566
I71_02_04.png,0.28
I02_02_04.png,0.234
I52_02_01.png,0.814
I48_02_02.png,0.606
I30_02_04.png,0.354
I49_02_02.png,0.654
I35_02_05.png,0.3
I67_02_04.png,0.286
I69_02_05.png,0.28
I10_02_05.png,0.266
I32_02_04.png,0.254
I27_02_01.png,0.706
I19_02_03.png,0.4
I03_02_01.png,0.806
I59_02_01.png,0.874
I74_02_04.png,0.274
I32_02_02.png,0.474
I55_02_02.png,0.486
I78_02_02.png,0.58
I42_02_05.png,0.266
I26_02_01.png,0.82
I46_02_05.png,0.24
I40_02_04.png,0.28
I37_02_02.png,0.406
I36_02_04.png,0.314
I45_02_04.png,0.28
I47_02_01.png,0.854
I22_02_04.png,0.314
I59_02_03.png,0.346
I43_02_02.png,0.64
I48_02_01.png,0.826
I01_02_05.png,0.24
I13_02_01.png,0.78
I50_02_03.png,0.36
I25_02_04.png,0.346
I58_02_05.png,0.32
I14_02_02.png,0.514
I34_02_01.png,0.766
I05_02_04.png,0.266
I28_02_01.png,0.846
I30_02_03.png,0.44
I79_02_04.png,0.374
I80_02_03.png,0.38
I36_02_02.png,0.614
I10_02_01.png,0.78
I25_02_03.png,0.374
I38_02_01.png,0.786
I72_02_01.png,0.694
I53_02_05.png,0.278
I49_02_04.png,0.32
I16_02_01.png,0.68
I24_02_01.png,0.714
I58_02_03.png,0.494
I40_02_02.png,0.4
I76_02_01.png,0.766
I32_02_01.png,0.74
I57_02_02.png,0.426
I33_02_02.png,0.494
I16_02_05.png,0.266
I43_02_03.png,0.44
I21_02_01.png,0.64
I75_02_01.png,0.806
I28_02_03.png,0.386
I15_02_04.png,0.266
I05_02_05.png,0.274
I37_02_03.png,0.28
I58_02_01.png,0.854
I63_02_01.png,0.694
I06_02_02.png,0.72
I07_02_05.png,0.3
I18_02_01.png,0.74
I55_02_04.png,0.284
I64_02_02.png,0.5
I26_02_02.png,0.534
I61_02_04.png,0.254
